model_year,KM,HP,Litros,Cilindros,price_eur
2013,109233,230.0,3.0,6.0,16380
2017,76587,355.0,5.3,8.0,41405
2004,72420,250.0,3.5,6.0,5460
2008,66060,414.0,4.0,8.0,35026
2003,228873,239.0,4.6,8.0,4550
2011,128947,382.0,5.5,8.0,15925
2010,37229,430.0,6.2,8.0,31850
2015,122787,182.0,2.4,4.0,8645
2015,187022,360.0,6.0,8.0,29029
2019,93020,425.0,3.0,6.0,50959
2018,91053,208.0,2.0,4.0,19019
2010,286463,170.0,2.5,4.0,6916
2015,143473,360.0,4.6,8.0,29029
2012,76033,201.0,2.4,4.0,17836
2016,149669,355.0,5.3,8.0,27300
2016,122325,300.0,3.0,6.0,22704
2015,86905,235.0,2.0,4.0,24570
2007,288073,239.0,4.0,6.0,16289
2018,138404,290.0,3.5,6.0,24479
2015,62764,250.0,2.5,5.0,16289
2015,241402,310.0,3.5,6.0,15561
2017,93439,340.0,3.0,6.0,23660
2016,141622,335.0,2.7,6.0,16835
2011,116319,414.0,4.0,8.0,31804
2009,111725,320.0,4.6,8.0,33215
